Sr. no.,Tweets,Scores,Category
1155,cont1 feedback is delivered for the misconduct and to get him to be cautious while on the wheel,0,Neutral
1156,apologies for the untoward experience we have repoed the driver for corrective action and would ensure that a stern cont1,0,Neutral
1157,we have incorporated a 3 minutes waiting time for copassengers to board the cab after reaching hisher location cont1,0.091,Positive
1158,cont1 post which the booking will be cancelled,0.2,Positive
1159,cont1 being there promptly at the time of need by working towards nullifying such instances the rides have been cont2,0.3,Positive
1160,cont2 cancelled,0,Neutral
1161,apologies for the inconvenience we have repoed the drivers for corrective action and look forward towards cont1,0,Neutral
1162,there is a temporary technical issue with the application calculating estimates at this point we request you to cont1,-0.11,Negative
1163,cont1 share the booking reference id if the ride was taken,0,Neutral
1164,krishna can you dm us your no wed like to talk to you about what happened,0.17,Positive
1165,thank you we just added a bunch of new playlists today cab rides should never be boring again olaplay,0.091,Positive
1166,olaplay is a spl fleet of cars are equipped with a range of infotainment options,-0.12,Negative
1167,currently available to book for our olaselect customers under the ola prime categorygive it a try,0.11,Positive
1168,so happy to hear this,0.5,Positive
1169,will lettake that,0.5,Positive
1170,usingand experience olaplay is really good i can play my choice of songs with voice control all by my mobile,0.17,Positive
1171,surely it means we are doing it right right,0.25,Positive
1172,we would get that rectified,0.5,Positive
1173,yes of course we have a rewards and recognition program for all paners for their exemplary behaviour,0.25,Positive
1174,cont1 serving you exceptionally hencefoh,0.25,Positive
1175,apologies for the untoward experience we have repoed the driver for corrective action and look forward towards cont1,0.091,Positive
1176,the pick up points are always a common one in the case of share express as per the map you had to walk through a cont1,0,Neutral
1177,cont1 gated community,0,Neutral
1178,thisdriver who dropped me home two hours ago just came back to handover my wallet that id forgotten in the car,0.077,Positive
1179,can you share the ride crn so we convey the compliments to mahesh thanks,0.25,Positive
1180,neha you can book yourself an ola outstation cab from the airpo itself,0,Neutral
1181,you can avail a discount on the ridecan you dm us your no so we can communicate the same to you thanks,0.29,Positive
1182,it’s official india’s worst traffic isn’t in mumbai or bengaluru it’s in chennai,-0.25,Negative
1183,either way its a good thingdoyourshare,0.25,Positive
1184,the good thing about share is that the ride cost is upfront so your billing would nonetheless be accurate,0.11,Positive
1185,entered we have the modern age,0.33,Positive
1186,"nice surprise you just delighted me with starboy cheers
if you were a guy would have bought you a beer",0.44,Positive
1187,givewaygivelife,0,Neutral
1188,pretty neat stuff this fromwith custom pick up points share express,0.22,Positive
1189,"and its light on the environment too 

doyoushare",0,Neutral
1190,thats olaplay for you keep riding,0,Neutral
1191,were sure there is a way to find out let us check with the team and get back,0,Neutral
1192,"hey siddah we wanted to connect with you on your ola experience could you dm us your contact no 
cheers",0.12,Positive
1193,cancellation is deducted from your next ride amp the mode depends on the payment mode you have chosen on that ride in case,0.083,Positive
1194,you had taken a credit ride the cancellation fee will also get deducted from your ola credit balance the same holds true,0.14,Positive
1195,for cash and ola money in a case you choose to pay with ola money amp have insufficient balance the same will get deducted,0.071,Positive
1196,"from ola credit along with the ride fee
that helps",0.17,Positive
1197,hey veerender we wanted to connect with you on your ola experience could you dm us your contact number cheers,0.11,Positive
1198,hey savio we would like to connect with you on your ola experience could you dm us your contact number cheers,0.22,Positive
1199,hey anurag we wanted to connect with you on your ola experience could you dm us your contact number cheers,0.11,Positive
1200,hey darshana we wanted to connect with you on your ola experience could you dm us your contact number cheers,0.11,Positive
1201,hey we wanted to connect with you on your ola experience could you pls dm us your contact number cheers,0.11,Positive
1202,"hey rahul we wanted to connect with you on your ola experience could you dm us your contact number
cheers",0.11,Positive
1203,oops sorry about that rajul autocorrectfails,-0.25,Negative
1204,this ones for you mumbai,0,Neutral
1205,,,
1206,"baedid something subtle and beautiful today 
ola share pass not applied because regular fare is lower
so impressive",0.077,Positive
1207,thanks for the shoutout aniruddh hope you had a really memorable ride,0.43,Positive
1208,have a fantastic trip olaoutstation,0.33,Positive
1209,never be bored olaplay,-0.33,Negative
1210,good morning my fitness buddy books olacabpacks me off to the airpo n off he goes to d gymfeelingpampered hubby,0.1,Positive
1211,that wont be possible youll need an ola account that also acts as your ola money account,0,Neutral
1212,were thrilled to know that you enjoyed it olaplay wish you a fabulous weekend,0.43,Positive
1213,"get ready to be blown away by the olaplay experience
book your prime play ride today 
bangalore delhi mumbai",0.14,Positive
1214,haha hoping for traffic thats a first olaplay,0.17,Positive
1215,great jobamazing,0.5,Positive
1216,ola hires vishal kaul as new coo former coo jivrajka to focus on strategic intiatives,0,Neutral
1217,super excited to welcome vishal kaul as coowith his incredible energy and valuable experience look forward to working with him,0.46,Positive
1218,loved the 29 fare of ola autos for first 4kms in hyderabad its quite helpful and economical for shoer distance rides,0.23,Positive
1219,your jokes need a slight boost in kaulity,0,Neutral
1220,keep playing olaplay,0.33,Positive
1221,thanks for the shoutout gunjan were excited that you liked it,0.6,Positive
1222,thanks for the shout out rishabh it means a lot to usdoyourshare,0,Neutral
1223,mumbai the most affordable ride in town is here now ride microjust rs6km minirs8km amp primers11km,0.091,Positive
1224,savetheweekend with ola outstation use code os20 to book an olaoutstation amp get 20 off on your ride up to 400,0.1,Positive
1225,playing the republic day special playlist inolaplay feeling inspired,0.25,Positive
1226,apparently thecopywriter turned out as wicked as me,-0.25,Negative
1227,we didnt want to sound too self congratulatory,0.4,Positive
1228,happy republicday we dont need to speak a language to get around but the a of conversation lives speakindian,0.18,Positive
1229,happy republicday we dont need to speak a language to get around but the a of conversation lives speakindian,0.18,Positive
1230,enjoyingon olaplaythats one way to stay enteained during peak bangalore traffic,0,Neutral
1231,celebrate this republicday with songs from our republic day special playlist onduring your olaplay rides,0.1,Positive
1232,yes but were talking about the 67 years that we have spent being a republic,0,Neutral
1233,yes but were talking about the 67 years that we have spent being a republic,0,Neutral
1234,yes but were talking about the 67 years that we have spent being a republic,0,Neutral
1235,speakindian when youre in a cab and you spot a nice little selfie spot heres what you say,0.1,Positive
1236,when in karnataka speakindian,0,Neutral
1237,speakindian when you meet the perfect goto guy in pune and want to befriend him,0.12,Positive
1238,nice feature byolaplayconnect ola wifi and listen music on your choice using ola cab app,0.17,Positive
1239,"the most impoant question when in kerala 
speakindian",-0.25,Negative
1240,more power to you jayalakshmi hatsoff,0.33,Positive
1241,"hyderabad win big today 
share rides at just 30 whats more buy your ola share pass today at flat 30
details",0.067,Positive
1242,hyderabad did you know you have collectively helped reduce 15 million kg of co2 emission by choosing olashare last year doyourshare,0.083,Positive
1243,say ola to autos at super affordable fares in your city now ride hasslefree from your doorstep at just 29 for 4km olaauto,0.23,Positive
1244,thanks for the shout out neeraj,0.33,Positive
1245,speakindian when you really need to get your hands on some cash in assam,0,Neutral
1246,hyderabad if you havent yet your chance to get the olashare pass at 30 ends in a few hours hurry and get yours now doyourshare,-0.077,Negative
1247,speakindian when you want to quench your thirst in coorg,-0.2,Negative
1248,im in an ola play right now this beautiful evening in bombay as the sun setsand this option to play music from their tablet is just jazz,0.4,Positive
1249,destressing monday evenings one playlist at a time olaplay,0.29,Positive
